question,options,answer,category,difficulty,explication
"Quel problème de sécurité voyez-vous dans ce code ? <code>if (\$_POST['admin']) { do_admin(); } ?></code>",1) XSS | 2) CSRF | 3) Accès non contrôlé | 4) Injection SQL,"2,3",Sécurité,Expert,"(3) Accès non contrôlé : le code se fie à une simple valeur POST pour accorder des droits d'administration, au lieu de vérifier le rôle de l'utilisateur authentifié. (2) CSRF : si le formulaire n'est pas protégé par un token, un attaquant peut forcer un administrateur à soumettre cette requête à son insu."
"Quelle faille de sécurité est présente dans ce code ? <code><?php \Drupal::messenger()->addMessage($_GET['msg']); ?></code>",1) XSS | 2) CSRF | 3) Injection SQL | 4) Aucune,1,Sécurité,Expert,"La méthode `addMessage()` du service messenger n'échappe pas le HTML par défaut. Afficher directement un message provenant de `$_GET` permet à un attaquant d'injecter du code JavaScript qui sera exécuté pour l'utilisateur, créant une faille XSS."
"Quel problème de standards Drupal voyez-vous dans ce code ? <code>function example_block_view() { return ['#markup' => 'Hello']; }</code>",1) Manque de PHPDoc | 2) Mauvais nommage | 3) Manque d’espace | 4) Rien,"1,2",Communauté,Expert,"(1) Il manque le bloc de documentation PHPDoc. (2) C'est un nom de hook (`hook_block_view`) qui est obsolète depuis Drupal 8. La création de bloc se fait maintenant avec le système de Plugins."
"Comment ajouter une bibliothèque JS à un formulaire custom dans un module ? <code>function mymodule_form($form, &$form_state) { ... }</code>",1) #attached | 2) attach_library | 3) #libraries | 4) #js,"1",Thème,Expert,"Dans un 'render array' (et donc un tableau de formulaire), on utilise la clé `#attached` pour attacher des bibliothèques. La syntaxe est `$form['#attached']['library'][] = 'mon_module/ma_bibliotheque';`."
"Quelle est la valeur de \$result ? <code><?php $a = 1; $b = 2; $result = $a++ + $b++; ?></code>",1) 3 | 2) 4 | 3) 5 | 4) 2,1,Fondamentaux Web,Expert,"Les deux sont des post-incrémentations. `$a++` est évalué à 1 (puis `$a` passe à 2). `$b++` est évalué à 2 (puis `$b` passe à 3). L'addition est donc `1 + 2 = 3`."
"Quel problème de sécurité voyez-vous dans ce code ? <code>$query = db_query('SELECT * FROM users WHERE name = \"' . $_POST['name'] . '\"');</code>",1) Injection SQL | 2) XSS | 3) CSRF | 4) Rien,1,Sécurité,Expert,"La fonction `db_query()` est obsolète et dangereuse car elle ne paramètre pas les requêtes. Concaténer directement une variable `$_POST` dans la chaîne de requête est un cas d'école d'injection SQL. Il faut utiliser l'API de base de données avec des placeholders (ex: `db_select(...)->condition(...)`)."
Comment ajouter une route custom dans un module Drupal ?,1) Créer un fichier .routing.yml | 2) Ajouter dans .info.yml | 3) Utiliser hook_menu | 4) Modifier .libraries.yml,1,Drupal Core API,Expert,"Le système de routage de Drupal 8+ repose sur la définition des routes (chemins, contrôleurs, permissions) dans un fichier nommé `[nom_du_module].routing.yml` à la racine du module."
"Quel problème de logique voyez-vous dans ce code ? <code><?php if ($user = 'admin') { ... } ?></code>",1) Affectation au lieu de comparaison | 2) Mauvaise indentation | 3) Rien | 4) Mauvais type,1,Fondamentaux Web,Expert,"L'opérateur `=` est une affectation. L'expression affecte la chaîne 'admin' à `$user` et est ensuite évaluée à `TRUE`, rendant la condition toujours vraie. L'opérateur de comparaison est `==` ou `===`."
"Quel problème de standards Drupal voyez-vous ici ? <code>function example_menu() { return TRUE; }</code>",1) Hook obsolète | 2) Mauvais nommage | 3) Manque de PHPDoc | 4) Rien,1,Drupal Core API,Expert,"Le hook `hook_menu()` est un hook de Drupal 7. Il est obsolète dans les versions modernes de Drupal et a été remplacé par les fichiers de définition de routes (`*.routing.yml`) et de liens de menu (`*.links.menu.yml`)."
"Comment valider un champ personnalisé dans une entité ?","1) Constraint Validator | 2) hook_entity_validate | 3) hook_form_alter | 4) Validation API","1,2",Drupal Core API,Expert,"La méthode moderne et réutilisable est de créer un plugin de contrainte (Constraint) et son validateur (Constraint Validator) via l'API de Validation (1). On peut également utiliser `hook_entity_validate()` (2) pour des validations plus globales au niveau de l'entité."
"Quelle faille est présente dans ce code Twig ? <code>{{ input }}</code>",1) XSS | 2) CSRF | 3) Injection SQL | 4) Rien,4,Sécurité,Expert,"Aucune. Twig est configuré par défaut dans Drupal pour échapper automatiquement toute sortie. Ce code est sécurisé contre les attaques XSS. Il deviendrait vulnérable uniquement si le filtre `|raw` était utilisé."
"Quel problème de standards Drupal voyez-vous ici ? <code>/** Affiche */ function hello($name) { echo $name; }</code>",1) Manque @param | 2) Manque @return | 3) Mauvais type | 4) Rien,"1,2",Communauté,Expert,"Le PHPDoc est incomplet. Il doit documenter chaque paramètre avec `@param` (1) et le type de retour avec `@return` (2). Ici, il manque `@param string $name` et `@return void`."
"Comment ajouter un lien de menu custom dans un module ?",1) Créer un fichier .links.menu.yml | 2) Ajouter dans .routing.yml | 3) Utiliser hook_menu | 4) Modifier .info.yml,1,Drupal Core API,Expert,"Les liens de menu sont définis de manière déclarative dans un fichier YAML nommé `[nom_du_module].links.menu.yml`. Ce fichier définit le titre du lien, sa route, son menu parent, etc."
"Quel problème de sécurité voyez-vous dans ce code ? <code>if (\$_POST['admin']) { do_admin(); } ?></code>",1) XSS | 2) CSRF | 3) Accès non contrôlé | 4) Injection SQL,"2,3",Sécurité,Expert,"(3) Accès non contrôlé : le code ne vérifie pas l'identité ou les droits de l'utilisateur, il se fie à une donnée POST. (2) CSRF : un attaquant peut forger une requête qui sera exécutée par le navigateur d'un administrateur authentifié à son insu si le formulaire n'est pas protégé par un token."
"Comment ajouter une validation personnalisée à un formulaire via Form API ?","1) #validate | 2) hook_form_FORM_ID_validate | 3) #custom_validate | 4) hook_form_alter","1,2",Drupal Core API,Expert,"On peut ajouter une ou plusieurs fonctions de validation à la clé `#validate` (1) du tableau de formulaire. Alternativement, on peut utiliser `hook_form_FORM_ID_validate()` (2) pour attacher une validation spécifique à un ID de formulaire, ce qui est une pratique courante."
"Quelles méthodes permettent de modifier dynamiquement un render array dans un module ?",1) hook_preprocess_HOOK | 2) hook_form_alter | 3) hook_page_alter | 4) hook_node_view,1,Drupal Core API,Moyen,"Les hooks de pré-processus (`hook_preprocess_HOOK`) sont spécifiquement conçus pour intercepter un 'render array' juste avant son rendu, afin d'y ajouter ou modifier des variables qui seront disponibles dans le template Twig correspondant."
"Quelles méthodes permettent de modifier dynamiquement le menu principal dans Drupal ?",1) hook_menu_alter | 2) hook_preprocess_menu | 3) hook_page_build | 4) MenuLinkTreeManipulatorInterface,"1,4",Drupal Core API,Moyen,"Les définitions de liens de menu peuvent être altérées avec `hook_menu_links_discovered_alter` ou `hook_menu_alter` (1). Pour manipuler l'arbre de menu rendu (réordonner, etc.), on utilise un service qui implémente `MenuLinkTreeManipulatorInterface` (4)."
"Quelles sont les étapes pour créer un type d’entité personnalisé ?","1) Définir la classe de l’entité | 2) Déclarer les champs de base | 3) Déclarer le schéma dans hook_schema | 4) Créer un fichier de configuration YAML","1,4",Drupal Core API,Moyen,"La création d'une entité de contenu personnalisée commence par une classe d'entité (1) annotée, qui définit ses propriétés. La définition des champs de base, des handlers et d'autres métadonnées se fait directement dans l'annotation de la classe, qui est une forme de configuration YAML interprétée (4)."
"Quelles méthodes permettent d’intégrer un fichier JavaScript à une page spécifique dans Drupal ?","1) hook_page_attachments_alter | 2) hook_preprocess_page | 3) .libraries.yml | 4) inline dans le template Twig","1,2",Thème,Moyen,"Pour attacher une bibliothèque à une page de manière conditionnelle, on peut utiliser `hook_page_attachments_alter` (1) ou `hook_preprocess_page` (2) et y ajouter la bibliothèque à l'élément `#attached`."
"Quelles sont les étapes pour créer un test fonctionnel automatisé dans Drupal ?","1) Étendre BrowserTestBase | 2) Utiliser Simpletest | 3) Activer les modules nécessaires | 4) Définir le scénario de test","1,3,4",Fondamentaux Web,Moyen,"Un test fonctionnel moderne étend la classe `BrowserTestBase` (1). On doit spécifier les modules à activer pour le test (3). Le corps du test contient le scénario à exécuter, avec des assertions pour vérifier les résultats (4). Simpletest (2) est l'ancien framework, obsolète."
"Quelles sont les bonnes pratiques pour protéger un endpoint REST custom dans Drupal ?","1) Utiliser l’authentification appropriée (ex: OAuth, JWT) | 2) Valider les tokens CSRF | 3) Restreindre l’accès par permission | 4) Désactiver le cache","1,3",Sécurité,Moyen,"La sécurité d'un endpoint REST repose sur une méthode d'authentification robuste (1) (les tokens étant préférables aux cookies pour des API) et une vérification fine des permissions de l'utilisateur authentifié (3)."
"Quelles sont les étapes pour créer un plugin Block custom ?","1) Définir la classe du plugin | 2) Créer une annotation | 3) Implémenter la méthode build() | 4) Ajouter dans .libraries.yml","1,2,3",Drupal Core API,Moyen,"Pour créer un bloc, il faut : (1) créer une classe PHP qui étend `BlockBase`, (2) ajouter une annotation `@Block` au-dessus de la classe, et (3) implémenter la méthode `build()` qui retourne le contenu du bloc sous forme de 'render array'."
"Quelles méthodes permettent de restreindre l’accès à une route custom dans Drupal ?",1) Définir _permission dans routing.yml | 2) Utiliser un AccessCheck | 3) Utiliser des conditions dans le contrôleur | 4) Définir _access_check dans routing.yml,"1,2,4",Sécurité,Moyen,"Dans le fichier `*.routing.yml`, on peut utiliser `_permission` (1) pour un contrôle simple. Pour une logique complexe, on crée un service de vérification d'accès et on le référence via `_custom_access`. Le système de Drupal transforme `_custom_access: 'TRUE'` en `_access_check: 'TRUE'` (4) implicitement."
"En POO PHP, vous avez une classe `final class ReportGenerator`. Une autre classe `CustomReport` tente d'en hériter via `class CustomReport extends ReportGenerator`. Quelle erreur PHP sera générée ?","1) Fatal error: Class ReportGenerator contains abstract methods... | 2) Fatal error: Class CustomReport may not inherit from final class (ReportGenerator) | 3) Parse error: syntax error, unexpected 'extends' | 4) Notice: Class ReportGenerator is final and should not be extended.",2,"1.2 OO PHP programming concepts",Difficile,"Le mot-clé `final` devant une déclaration de classe empêche explicitement toute autre classe d'en hériter. C'est une décision d'architecture pour garantir que le comportement de la classe ne puisse pas être modifié par héritage. Tenter de le faire résulte en une erreur fatale."
"Quelle commande Composer permet d'examiner pourquoi une version spécifique d'un package (par ex: `drupal/core-dev 10.1.5`) est installée et quels autres packages en dépendent ?",1) composer show drupal/core-dev | 2) composer depends drupal/core-dev | 3) composer why drupal/core-dev | 4) composer prohibits drupal/core-dev,3,"1.3 Managing dependencies using Composer",Difficile,"La commande `composer why` (ou `composer depends` qui est un alias) est l'outil de diagnostic qui parcourt l'arbre des dépendances pour expliquer pourquoi un package donné est présent dans votre projet. `prohibits` fait l'inverse (explique pourquoi un package ne peut pas être installé), et `show` affiche des informations sur le package sans expliquer la chaîne de dépendance."
"Vous devez créer une route qui n'est accessible que si un module spécifique, disons `my_feature`, est activé. Quelle est la bonne syntaxe à utiliser dans votre fichier `mon_module.routing.yml` ?",1) `requirements: _module_exists: 'my_feature'` | 2) `requirements: _module: 'my_feature'` | 3) `requirements: _custom_access: '\Drupal\my_module\Access\MyFeatureAccessCheck'` | 4) `options: _module_dependency: 'my_feature'`,1,"2.1 Routing system and Menu API",Difficile,"Le système de routage de Drupal fournit un vérificateur d'accès prêt à l'emploi, `_module_exists`, qui permet de conditionner l'accès à une route à l'activation d'un ou plusieurs modules. C'est la méthode la plus simple et la plus déclarative pour ce besoin. Créer une classe d'accès personnalisée (Option 3) serait excessif pour ce cas simple."
"Dans un `hook_form_alter`, vous voulez ajouter une fonction de validation qui s'exécute *avant* toutes les autres validations de base du formulaire. Comment devez-vous l'ajouter ?","1) `$form['#validate'][] = 'my_custom_validation';` | 2) `array_unshift($form['#validate'], 'my_custom_validation');` | 3) `$form['#after_build'][] = 'my_custom_validation';` | 4) `$form['#validate_early'][] = 'my_custom_validation';`",2,"2.2 Build, alter, validate and submit forms using Form API",Expert,"Les validateurs de formulaire sont exécutés dans l'ordre où ils apparaissent dans le tableau `$form['#validate']`. Pour qu'une validation s'exécute en premier, il faut l'ajouter au début du tableau en utilisant `array_unshift()`. L'ajout simple avec `[]` (Option 1) la placerait à la fin. `#after_build` est pour la modification du rendu, pas la validation."
"Vous créez un champ calculé qui dépend de la valeur d'un autre champ sur la même entité. Comment forcer le recalcul de votre champ lorsque le champ source est modifié ?",1) En implémentant `hook_entity_presave` et en appelant `$entity->get('mon_champ_calcule')->recompute()` | 2) La dépendance est automatique si les deux champs sont sur la même entité. | 3) En utilisant la méthode `setValue()` sur le champ calculé dans un `hook_entity_update`. | 4) En déclarant la dépendance dans l'annotation `@FieldType` du champ calculé.,1,"2.3 Interact with the entity system using Entity API",Expert,"Le recalcul des champs calculés n'est pas automatique lors de la mise à jour d'une entité. Le moment approprié pour déclencher ce recalcul est juste avant la sauvegarde, via `hook_entity_presave`. Dans ce hook, on peut vérifier si le champ source a changé et, si c'est le cas, forcer le recalcul. La méthode `recompute()` n'existe pas, mais on peut simplement effacer la valeur existante (`$entity->get('mon_champ_calcule')->setValue(NULL)`) pour que la méthode `computeValue()` soit appelée à nouveau."
"Un collègue se plaint que son `hook_node_view_alter` ne semble pas fonctionner. Le cache a été vidé. Quel outil de débogage et quelle méthode utiliseriez-vous pour vérifier si Drupal découvre même son implémentation de hook ?",1) Activer le module Devel et vérifier la page `/devel/hooks`. | 2) Placer un point d'arrêt Xdebug dans `ModuleHandler::invokeAll()` et inspecter la variable `$implementations`. | 3) Utiliser Drush : `drush ev """"print_r(\Drupal::moduleHandler()->getImplementations('node_view_alter'));""""` | 4) Toutes ces réponses sont des méthodes valides pour diagnostiquer le problème.,4,"3.1 Debug code",Difficile,"Les trois méthodes sont des approches valides et professionnelles pour ce problème. L'option 1 (Devel) est une approche visuelle rapide. L'option 2 (Xdebug) est la plus puissante pour une analyse en temps réel de l'exécution du code. L'option 3 (Drush) est idéale pour une vérification rapide en ligne de commande sans interface graphique."
"Dans un template Twig, vous avez une variable `complex_array`. Quelle syntaxe permet d'afficher son contenu de manière détaillée pour le débogage, à condition que le module Devel et l'intégration Kint soient activés ?",1) `{{ dump(complex_array) }}` | 2) `{% debug complex_array %}` | 3) `{{ kint(complex_array) }}` | 4) `{{ devel_dump(complex_array) }}`,3,"4.2 Work with Twig templates and syntax",Difficile,"Lorsque le module Devel est configuré pour utiliser Kint, il expose une fonction Twig `kint()`. C'est la méthode recommandée pour obtenir un affichage riche et interactif des variables. `dump()` est une fonction de base de Twig, moins détaillée. Les autres options n'existent pas par défaut."
"Un bloc personnalisé affichant une information qui dépend du rôle de l'utilisateur est mis en cache de manière incorrecte. Le code est `return ['#markup' => $output, '#cache' => ['tags' => ['user:' . $user->id()]]];`. Qu'est-ce qui manque pour assurer une variation correcte du cache ?",1) `'max-age' => 0` | 2) `'contexts' => ['user.roles']` | 3) `'contexts' => ['url.path']` | 4) Une invalidation de tag personnalisée.,2,"5.3 Implement Drupal caching strategies using Cache API",Expert,"Les `tags` servent à l'invalidation (QUAND vider le cache), tandis que les `contexts` servent à la variation (POUR QUOI créer une version différente du cache). Ici, le contenu varie en fonction des rôles de l'utilisateur. Le contexte de cache correct est donc `user.roles`. L'utilisation du tag `user:UID` invalidera le cache si l'utilisateur est modifié, mais ne créera pas de versions différentes pour un admin et un utilisateur anonyme."
"Votre module expose un endpoint REST qui renvoie des données sensibles. Quelle est la meilleure façon de restreindre l'accès à ce endpoint uniquement aux utilisateurs ayant la permission `access sensitive data` ?","1) Dans le contrôleur, vérifier avec `\Drupal::currentUser()->hasPermission('access sensitive data');` | 2) Dans `mon_module.routing.yml`, ajouter `requirements: _access: 'TRUE'` | 3) Dans `mon_module.routing.yml`, ajouter `requirements: _permission: 'access sensitive data'` | 4) Dans `mon_module.permissions.yml`, lier la permission à la route.",3,"6.3 Implement Drupal core security mechanisms",Difficile,"La méthode standard, la plus propre et la plus performante, consiste à définir la permission requise directement au niveau de la route dans le fichier `*.routing.yml`. Le système de routage de Drupal se chargera de vérifier la permission avant même que le code du contrôleur ne soit exécuté. Placer la vérification dans le contrôleur (Option 1) fonctionne mais est moins efficace et mélange la logique de routage avec la logique métier."
"Quel est le problème de sécurité principal dans le code de ce contrôleur de formulaire ?
<code>
public function submitForm(array &$form, FormStateInterface $form_state) {
  $url = $form_state->getValue('redirect_url');
  $response = new RedirectResponse($url);
  $response->send();
}
</code>",1) Injection de dépendances incorrecte. | 2) Risque de redirection ouverte (Open Redirect). | 3) Absence de protection CSRF. | 4) Mauvaise utilisation du service `messenger`. ,2,"6.2 Analyze and resolve security issues arising from custom code",Expert,"Ce code est vulnérable à une 'Open Redirect'. Il récupère une URL depuis les données du formulaire et redirige l'utilisateur sans aucune validation. Un attaquant pourrait créer un lien vers ce formulaire en passant une URL malveillante dans le champ `redirect_url`, faisant croire à l'utilisateur qu'il est sur un site de confiance alors qu'il est redirigé vers un site de phishing. La solution est de valider l'URL avec `UrlHelper::isExternal()` ou de s'assurer qu'elle est interne au site."
"Vous écrivez un patch pour un module contribué. Selon les standards de codage Drupal, comment devrait être formatée la ligne suivante ?
<code>`if($items>0){`</code>",1) <code>`if ( $items > 0 ) {`</code> | 2) <code>`if ($items > 0) {`</code> | 3) <code>`if($items > 0){`</code> | 4) <code>`if ($items>0) {`</code>,2,"7.2 Write code using Drupal coding standards",Facile,"Les standards de codage de Drupal sont très stricts sur l'espacement pour la lisibilité. La règle pour les structures de contrôle (`if`, `foreach`, etc.) est : un espace après le mot-clé (`if`), aucun espace après la parenthèse ouvrante, aucun espace avant la parenthèse fermante, et un espace avant l'accolade ouvrante."
"Vous créez un plugin de type `MyCustomPlugin`. Ce plugin a besoin d'accéder au service `current_user`. Quelle est l'implémentation correcte pour injecter ce service en respectant les standards de Drupal 11 ?","1) <code>class MyPlugin extends MyPluginBase { public function __construct(...) { parent::__construct(...); $this->currentUser = \Drupal::service('current_user'); } }</code> | 2) <code>class MyPlugin extends MyPluginBase implements ContainerFactoryPluginInterface { public function __construct(..., protected AccountInterface $currentUser) { ... } public static function create(ContainerInterface $container, ...) { return new static(..., $container->get('current_user')); } }</code> | 3) <code>class MyPlugin extends MyPluginBase { public function build() { $user = \Drupal::currentUser(); } }</code> | 4) <code>class MyPlugin extends MyPluginBase { protected $currentUser; public function __construct() { $this->currentUser = \Drupal::service('current_user'); } }</code>"",2,"2.4 Core APIs",Difficile,"La méthode correcte pour les plugins est d'implémenter `ContainerFactoryPluginInterface`. Cela oblige à créer une méthode `create()` statique qui reçoit le conteneur de services. C'est cette méthode qui est responsable de récupérer les services requis et de les passer au constructeur. Cette approche garantit que le plugin est correctement instancié par Drupal avec ses dépendances, le rendant découplé et testable."
